WT,SED
15.0308,26.8371
12.0363,30.8727
22.1161,29.8614
19.0576,26.8966
24.1040,27.9444
26.0771,30.9155
26.1735,28.8437
30.1735,30.8503
30.1081,31.9692
31.2015,33.9098
43.2359,39.8466
35.7057,30.8597
35.1848,31.8983
28.8344,28.7868
27.2550,27.8847
28.9356,27.8749
29.6711,27.9121
32.1177,26.8623
35.1246,25.8092
30.1527,25.8380
29.0673,25.8443
28.0558,26.8030
28.1569,25.8496
27.1416,25.8555
25.1460,25.9085
24.0563,24.8792
25.5227,23.8765
26.1136,22.8374
26.7439,22.8338
28.1010,20.7961
30.5871,20.8231
24.0662,18.8311
23.7721,23.8866
22.0952,24.8077
22.0645,25.8435
20.0687,25.8551
19.9947,24.9027
19.0846,24.9494
18.0690,24.9139
22.5773,22.8579
23.0984,21.8607
23.0944,20.9080
22.4946,19.7930
22.1053,18.8010
22.1136,20.7894
20.5074,21.8757
21.0635,20.8783
20.0478,20.8014
20.0435,19.7658
20.4597,18.8106
20.0744,18.7714
20.0704,17.8186
20.0581,14.8361
20.0809,11.8948
19.5825,9.90927
18.4392,12.8571
19.0551,17.8245
18.6699,17.8267
19.6196,18.8569
19.0592,18.8187
19.5536,19.8514
19.1028,20.8897
18.0479,19.8188
17.0370,20.9017
16.3096,22.8114
14.8040,22.8202
14.0647,21.8303
13.3297,21.9174
10.7345,20.8968
13.5664,19.8862
14.0913,19.8003
14.6866,19.8382
15.1109,20.8300
16.0523,19.8717
17.0595,17.8775
16.4993,17.8808
16.0089,17.8422
17.0161,15.8479
17.0492,15.3921
17.0820,14.8534
16.8369,14.8548
16.4909,15.8510
16.3903,16.9286
16.1735,15.3143
16.0664,14.8178
15.7866,14.9023
15.4399,15.7328
15.0902,15.8177
15.0943,16.8119
13.9739,16.8184
13.6237,16.8204
13.3828,17.8160
12.5073,17.7796
14.0398,15.8238
14.4560,14.8686
14.7007,14.7843
15.0862,14.8649
15.1173,13.9120
14.3837,14.3305
15.4981,12.8741
17.3894,12.9874
16.3999,10.7977
16.1200,10.8407
15.1130,12.8764
14.5876,12.8380
14.0624,12.8410
13.9182,11.8477
14.0669,13.9181
13.6812,13.7960
13.5803,14.7908
13.3388,15.6621
12.9542,15.7886
12.6743,15.8317
12.1489,15.7933
11.5538,15.8382
10.9934,15.8000
7.14200,15.8223
7.94112,14.3264
8.88871,14.8594
9.47999,13.9032
12.0401,14.8826
12.5303,14.8797
11.5804,13.8082
10.9857,13.9359
10.4253,13.8978
12.8411,13.8423
12.9118,14.0076
12.5924,12.9738
12.0668,12.8940
10.5263,12.9030
8.91325,12.3324
9.99695,11.9118
10.5223,11.9502
11.0822,11.8641
11.6426,11.9023
12.0279,11.9415
12.5529,11.8970
12.9379,11.8534
12.5134,10.8202
12.5466,10.3643
11.0060,10.3733
11.0430,10.8701
10.4808,10.3763
9.71255,10.8779
8.42101,11.8381
9.22236,10.8807
9.22013,10.3422
9.04524,10.3846
9.04301,9.84612
9.28844,9.92755
9.56838,9.88450
10.0239,9.96471
10.1615,9.38396
9.73932,8.88931
9.59515,7.89594
9.28003,7.89777
11.0226,5.94069
9.28415,8.89195
8.47868,8.85520
8.09319,8.77458
7.84827,8.81743
7.56834,8.86047
7.84655,8.40319
8.30190,8.44197
8.44778,9.84957
8.13301,9.93425
8.34463,10.3058
8.09920,10.2244
7.92671,10.8468
7.99896,11.3849
6.31421,10.4005
5.92872,10.3199
5.99703,9.90521
6.62298,8.86596
5.50239,8.83103
6.97311,8.86393
6.58350,7.78914
7.10939,7.95179
7.59940,7.90752
